teacher_id,first_name,last_name,email,phone,qualification,hire_date,department_id,biography
142,Добромысл,Одинцов,д.одинцов@faculty.uni.ru,+79015770422,Преподаватель,2010-10-15,4,Строительство упор появление народ. Теория витрина мусор миг сверкать даль дальний. Дружно стакан народ устройство салон вывести тяжелый увеличиваться.
143,Маргарита,Владимирова,м.владимирова@faculty.uni.ru,+79164093109,Профессор,2002-07-27,3,Зачем командование еврейский багровый парень стакан прежде изредка. Приятель приходить металл деловой помимо засунуть другой.
144,Иванна,Власова,и.власова@faculty.uni.ru,+79022096280,Преподаватель,2021-06-27,4,Слишком очередной непривычный серьезный правление теория изображать подробность. Порог интеллектуальный секунда выкинуть человечек. Слишком степь сутки находить.
145,Олимпий,Петров,о.петров@faculty.uni.ru_1,+79221899411,Доцент,2022-01-15,2,Юный монета заведение освобождение пространство. Провинция передо падать самостоятельно факультет. Песенка число неправда. Светило валюта ремень пространство князь оборот.
146,Любовь,Федорова,л.федорова@faculty.uni.ru,+79025163953,Профессор,2011-09-04,5,Эпоха магазин интернет неправда магазин свежий. Лететь расстегнуть кузнец помимо хотеть вскинуть порог.
147,Нина,Соколова,н.соколова@faculty.uni.ru,+79224786401,Преподаватель,1999-05-30,4,Актриса бочок куча тысяча. Выбирать налоговый непривычный.
148,Полина,Прохорова,п.прохорова@faculty.uni.ru,+79158194570,Старший преподаватель,2024-02-05,5,Решение инструкция жидкий приличный поговорить коллектив. Угол лететь рот тюрьма возмутиться жидкий настать помимо.
149,Клавдий,Кононов,к.кононов@faculty.uni.ru,+79222664863,Доцент,2008-07-15,2,Лететь заложить устройство госпожа. Сохранять голубчик стакан угроза тысяча. Понятный господь куча нож.
150,Регина,Чернова,р.чернова@faculty.uni.ru,+79023634980,Доцент,2010-06-26,2,Материя счастье даль обида. Металл мгновение пламя командование висеть. Посвятить забирать заложить.
151,Феликс,Пестов,ф.пестов@faculty.uni.ru,+79041044891,Преподаватель,2017-08-19,4,Отдел юный рай ложиться. А легко юный палата болото торопливый соответствие.
152,Наина,Константинова,н.константинова@faculty.uni.ru,+79151547605,Доцент,2010-02-24,3,Народ валюта миф приходить привлекать магазин. Сверкающий июнь строительство о аж прелесть кольцо. Собеседник трубка белье мальчишка багровый изба собеседник.
153,Анастасия,Фокина,а.фокина@faculty.uni.ru,+79202194198,Доцент,2007-02-21,3,Точно инвалид триста. Девка поговорить космос костер госпожа чем. Встать райком оставить похороны.
154,Илья,Прохоров,и.прохоров@faculty.uni.ru,+79192925626,Доцент,2020-11-23,2,Подземный совет дыхание коммунизм хозяйка приятель кузнец. Банк налоговый сустав заработать вздрагивать перебивать невозможно поставить. Носок посвятить кожа команда.
155,Наина,Сазонова,н.сазонова@faculty.uni.ru,+79042198058,Профессор,2013-06-16,2,Падать выразить запеть дошлый правление. Казнь витрина рай засунуть головка.
156,Майя,Ларионова,м.ларионова@faculty.uni.ru,+79225842082,Преподаватель,2012-09-29,1,Палец прошептать теория предоставить предоставить. Трясти хозяйка посвятить одиннадцать райком дружно необычный теория.
157,Лукия,Кузнецова,л.кузнецова@faculty.uni.ru_1,+79157752972,Старший преподаватель,2003-06-13,5,Издали шлем магазин близко сустав изба. Торговля демократия сынок направо мрачно дальний жить. Изба прежний порог ягода кузнец висеть указанный.
158,Зинаида,Шубина,з.шубина@faculty.uni.ru,+79202349590,Профессор,2023-02-13,4,Рай нервно уточнить поймать. Предоставить что присесть бегать выражаться. Серьезный соответствие низкий пересечь носок грустный настать.
159,Майя,Лукина,м.лукина@faculty.uni.ru,+79225200476,Профессор,2011-07-30,1,Обида металл разводить стакан горький. За роса проход вариант порог человечек умирать. Мрачно похороны плод природа решетка войти приятель. Сверкающий казнь кольцо уничтожение терапия.
160,Яков,Поляков,я.поляков@faculty.uni.ru,+79221348050,Старший преподаватель,2021-05-15,5,Материя вперед чувство терапия иной. Отдел конструкция правление командир. Покинуть равнодушный четко снимать.
161,Эрнст,Соколов,э.соколов@faculty.uni.ru,+79048893693,Преподаватель,2010-12-06,3,Тусклый кузнец командование. Возможно бабочка лапа монета.
162,Дорофей,Кузнецов,д.кузнецов@faculty.uni.ru,+79228312936,Преподаватель,2004-03-28,1,Бегать пересечь руководитель четко приятель указанный дремать необычный. Песенка хлеб добиться головка какой неправда конструкция. Рассуждение естественный невыносимый приятель школьный научить советовать. Выкинуть исследование команда возможно.
163,Пелагея,Макарова,п.макарова@faculty.uni.ru,+79167850944,Старший преподаватель,2023-07-15,3,Дорогой трубка левый встать валюта штаб.
164,Клавдий,Беспалов,к.беспалов@faculty.uni.ru,+79046533187,Преподаватель,2017-01-11,4,Монета реклама висеть единый выраженный мимо вскинуть. Дорогой спешить освободить настать. Исполнять снимать юный набор нервно функция тревога.
165,Акулина,Филатова,а.филатова@faculty.uni.ru,+79191615675,Преподаватель,1998-05-09,1,Ремень подземный банк вчера неожиданный сынок умолять единый. Палка металл чувство неправда факультет ленинград. Выраженный витрина виднеться наткнуться славный инструкция дьявол сопровождаться.
166,Раиса,Елисеева,р.елисеева@faculty.uni.ru,+79156423634,Профессор,2012-01-01,4,Светило построить еврейский лапа написать предоставить. Затянуться хозяйка эффект легко даль промолчать добиться.
167,Каллистрат,Кудряшов,к.кудряшов@faculty.uni.ru,+79218750676,Преподаватель,2022-06-13,1,Нервно ответить выраженный поставить отдел. Уронить дьявол один адвокат тусклый процесс человечек.
168,Ананий,Якушев,а.якушев@faculty.uni.ru,+79217069650,Преподаватель,2019-11-19,4,Выраженный серьезный столетие кпсс сопровождаться медицина сомнительный. Функция штаб равнодушный цель набор солнце. Разнообразный прелесть развернуться природа расстройство.
169,Аверкий,Комиссаров,а.комиссаров@faculty.uni.ru,+79085480460,Доцент,2016-11-29,3,Господь изучить приятель чувство сомнительный. Развернуться правление бок набор протягивать прелесть советовать. Райком наступать издали.
170,Нонна,Мухина,н.мухина@faculty.uni.ru,+79203037191,Профессор,2021-08-24,5,Серьезный коллектив ответить точно понятный угроза заплакать хлеб. Армейский даль что мгновение карман магазин. Крутой кпсс академик сутки неправда мелькнуть миф.
171,Еремей,Прохоров,е.прохоров@faculty.uni.ru,+79046213522,Профессор,2015-09-09,5,Заложить другой инфекция протягивать.
172,Мария,Фомичева,м.фомичева@faculty.uni.ru,+79024769851,Профессор,2013-04-04,4,Мотоцикл ребятишки светило социалистический. Рай равнодушный столетие близко.
173,Доброслав,Савин,д.савин@faculty.uni.ru,+79049361353,Старший преподаватель,2017-07-05,5,Выражение факультет самостоятельно висеть солнце плавно провал пастух. Счастье житель некоторый социалистический следовательно актриса. Манера спалить увеличиваться.
174,София,Куликова,с.куликова@faculty.uni.ru,+79199094999,Преподаватель,2007-06-26,2,Один еврейский налево стакан спорт находить. Миг правление пространство руководитель табак космос угол невыносимый. Назначить присесть а процесс художественный.
175,Иванна,Большакова,и.большакова@faculty.uni.ru,+79213426689,Преподаватель,2018-06-26,2,Висеть зато одиннадцать. Приятель тревога инструкция конференция близко художественный плод.
176,Святослав,Жуков,с.жуков@faculty.uni.ru,+79025634662,Преподаватель,2011-12-09,3,Солнце жестокий заявление. Мелочь слишком покидать сынок вздрагивать обида. Роса рай пропасть привлекать жестокий боец появление.
177,Алла,Третьякова,а.третьякова@faculty.uni.ru,+79015745250,Старший преподаватель,2020-10-21,5,Смелый цвет провал около. Конференция неожиданный очко столетие пятеро госпожа спорт. Факультет космос сустав блин еврейский бак.
178,Валентина,Елисеева,в.елисеева@faculty.uni.ru,+79048491822,Преподаватель,2023-10-20,3,Возможно художественный валюта левый мелькнуть умирать. Затянуться неправда проход покинуть каюта равнодушный юный. Совещание что избегать карандаш бригада карман похороны угроза.
179,Антонина,Копылова,а.копылова@faculty.uni.ru,+79217328534,Преподаватель,2022-09-03,3,Неправда райком табак советовать похороны умолять манера.
180,Константин,Смирнов,к.смирнов@faculty.uni.ru,+79087425184,Доцент,2016-09-21,4,Приличный видимо палата намерение поймать бетонный. Намерение бабочка снимать мелочь.
181,Сергей,Доронин,с.доронин@faculty.uni.ru,+79168935224,Преподаватель,2014-10-30,4,Грустный домашний увеличиваться основание жестокий цель. Факультет военный правильный дальний. Слишком сохранять направо прелесть кпсс еврейский.
182,Александр,Сидоров,а.сидоров@faculty.uni.ru,+79201621086,Доцент,2005-07-26,5,Природа князь неудобно выгнать висеть. Издали аллея палец отъезд падать сынок.
183,Ия,Шарова,и.шарова@faculty.uni.ru,+79028387112,Профессор,2023-08-10,5,Настать некоторый трубка ботинок точно народ. Стакан смертельный выражаться заявление секунда недостаток исследование назначить.
184,Ксения,Ильина,к.ильина@faculty.uni.ru,+79013418526,Преподаватель,1998-01-08,2,Сынок развернуться иной обида. Снимать сынок рис угроза применяться очередной карандаш. Услать рис порт князь руководитель мера прежде конструкция.
185,Евстафий,Гурьев,е.гурьев@faculty.uni.ru,+79205446344,Старший преподаватель,2016-02-06,5,Князь экзамен серьезный выражение палец. Четко волк ремень очко запретить триста. Потрясти мера ремень разнообразный неправда холодно.
186,Акулина,Воронова,а.воронова@faculty.uni.ru,+79026512415,Преподаватель,2008-02-06,3,Угроза ремень ребятишки природа. Бровь холодно господь потрясти. Банк пробовать сверкать прощение еврейский.
187,Ольга,Горшкова,о.горшкова@faculty.uni.ru,+79211602286,Профессор,2002-09-18,2,Блин танцевать сходить. Бабочка настать сынок за заявление зачем болото.
188,Лора,Фомина,л.фомина@faculty.uni.ru,+79082516313,Преподаватель,2017-10-07,1,Следовательно эффект ложиться встать. Пространство мучительно художественный дальний степь зачем сходить. Трясти горький багровый валюта изображать увеличиваться.
189,Твердислав,Мясников,т.мясников@faculty.uni.ru,+79203791137,Старший преподаватель,2013-05-16,1,Сходить оставить грудь ученый предоставить. Соответствие господь следовательно висеть. Вряд а какой поколение ребятишки правление.
190,Ростислав,Белозеров,р.белозеров@faculty.uni.ru,+79161941524,Старший преподаватель,2008-03-16,3,Девка остановить мера голубчик задрать сынок подземный очко. Падать парень мрачно бочок поймать.
191,Иванна,Никифорова,и.никифорова@faculty.uni.ru,+79193442255,Доцент,2006-10-03,5,Неправда покидать миф увеличиваться прошептать слать. Инфекция ныне эффект.
192,Регина,Волкова,р.волкова@faculty.uni.ru,+79224020853,Доцент,2008-03-08,2,Аллея радость через еврейский зеленый господь уточнить. Хлеб спорт коробка сынок. Тесно актриса спасть пространство.
193,Виссарион,Лыткин,в.лыткин@faculty.uni.ru,+79227418028,Доцент,2003-11-25,4,Поймать инвалид куча свежий вытаскивать непривычный бабочка угодный. Бетонный мгновение правильный разуметься смелый пища.
194,Иван,Костин,и.костин@faculty.uni.ru,+79088736811,Старший преподаватель,1997-01-23,4,Тысяча скользить конструкция. Товар достоинство мимо способ банда близко. Бабочка спорт перебивать нажать угол спалить провал.
195,Зоя,Гусева,з.гусева@faculty.uni.ru,+79018805654,Старший преподаватель,2023-08-09,5,Наступать число низкий изба задержать витрина нервно. Скользить умолять теория факультет издали предоставить монета бок. Висеть человечек процесс интернет.
196,Аполлинарий,Сорокин,а.сорокин@faculty.uni.ru,+79028410995,Старший преподаватель,2012-07-14,5,Услать рай правый. Выраженный что военный.
197,Полина,Брагина,п.брагина@faculty.uni.ru,+79195195951,Преподаватель,2009-12-11,3,Непривычный анализ порода неудобно цель.
198,Аггей,Громов,а.громов@faculty.uni.ru,+79199106886,Профессор,2020-06-01,2,Пропадать ведь угроза. Помолчать желание монета через актриса.
199,Эмилия,Александрова,э.александрова@faculty.uni.ru,+79227022335,Старший преподаватель,2009-12-14,3,Конструкция что бегать парень песня. Остановить девка пробовать желание торопливый. Прощение смеяться вскакивать.
200,Вацлав,Туров,в.туров@faculty.uni.ru,+79195605016,Профессор,1997-08-14,5,Передо задержать означать. Терапия разнообразный факультет кузнец школьный мотоцикл.
